ID,DEPT,GENDER,AGE,HR1,HR2,HR3,HR4,HR5,STG1,STG2,STG3,OP1,OP2,OE1,OE2,OE3,OE4,OE5,OPEN_Q1,OPEN_Q2
마케_001,마케팅팀,여,40대,3,4,2,2,3,4,4,3,2,3,3,4,4,3,4,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.
마케_002,마케팅팀,남,30대,3,4,4,4,3,3,3,4,2,3,3,2,4,2,3,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.
마케_003,마케팅팀,여,30대,3,4,2,2,3,3,3,4,3,3,4,4,4,2,2,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
마케_004,마케팅팀,여,30대,3,2,3,2,2,4,4,4,4,5,3,3,3,4,3,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.
마케_005,마케팅팀,여,20대,3,3,2,4,3,3,5,4,5,3,3,4,2,2,3,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
마케_006,마케팅팀,남,50대,3,4,3,1,3,2,3,4,4,3,3,2,4,4,3,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.,팀 내 소통이 원활하고 창의적인 아이디어를 존중하는 문화가 좋습니다.
마케_007,마케팅팀,남,40대,3,4,2,3,4,5,4,3,4,3,4,4,3,3,3,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.
마케_008,마케팅팀,남,50대,3,3,4,3,3,5,3,4,4,3,5,5,2,4,3,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
마케_009,마케팅팀,남,50대,4,3,4,2,3,4,3,2,5,3,4,3,4,5,4,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
마케_010,마케팅팀,남,50대,4,3,2,4,2,3,3,2,3,3,3,3,4,2,5,프로젝트 관리 도구를 더 체계적으로 활용했으면 좋겠습니다.,고객 피드백을 더 빠르게 반영할 수 있는 시스템이 필요합니다.
